instance,n,m,rule,runs,best_size,avg_size,avg_iterations,avg_time_ms
C125.9.clq,125,6963,first,30,33,32.43,3.83,2.65
C125.9.clq,125,6963,best,30,33,32.40,3.70,3.70
C125.9.clq,125,6963,random,30,33,32.30,3.73,2.24
brock/brock200_1.clq,200,14834,first,30,19,17.97,2.57,1.44
brock/brock200_1.clq,200,14834,best,30,19,18.03,2.50,2.38
brock/brock200_1.clq,200,14834,random,30,19,17.80,2.43,1.61
gen/gen200_p0.9_44.clq,200,17910,first,30,36,34.60,3.73,4.93
gen/gen200_p0.9_44.clq,200,17910,best,30,36,34.70,3.57,10.49
gen/gen200_p0.9_44.clq,200,17910,random,30,37,34.80,3.87,4.71
san/san200_0.7_1.clq,200,13930,first,30,17,16.20,1.63,2.27
san/san200_0.7_1.clq,200,13930,best,30,17,16.30,1.60,3.46
san/san200_0.7_1.clq,200,13930,random,30,17,16.20,1.70,2.44
san/sanr200_0.7.clq,200,13868,first,30,17,15.07,2.30,1.08
san/sanr200_0.7.clq,200,13868,best,30,17,15.13,2.17,1.80
san/sanr200_0.7.clq,200,13868,random,30,17,15.07,2.17,1.15
c-fat/c-fat200-2.clq,200,3235,first,30,24,22.43,1.00,0.75
c-fat/c-fat200-2.clq,200,3235,best,30,24,22.43,1.00,0.77
c-fat/c-fat200-2.clq,200,3235,random,30,24,22.43,1.00,0.78
johnson/johnson16-2-4.clq,120,5460,first,30,8,8.00,1.00,0.24
johnson/johnson16-2-4.clq,120,5460,best,30,8,8.00,1.00,0.24
johnson/johnson16-2-4.clq,120,5460,random,30,8,8.00,1.00,0.26
hamming/hamming8-4.clq,256,20864,first,30,16,10.83,2.13,0.95
hamming/hamming8-4.clq,256,20864,best,30,16,10.47,1.73,2.52
hamming/hamming8-4.clq,256,20864,random,30,16,10.63,2.10,0.99
MANN_a/MANN_a27.clq,378,70551,first,30,121,118.30,2.17,115.57
MANN_a/MANN_a27.clq,378,70551,best,30,121,118.30,2.17,212.63
MANN_a/MANN_a27.clq,378,70551,random,30,121,118.33,2.20,136.04
